PaymentMethod,MonthlyCharges,InternetService,DeviceProtection,OnlineSecurity
Mailed check,65.55,DSL,No,No
Credit card (automatic),90.35,Fiber optic,No,No
Credit card (automatic),20.4,No,No internet service,No internet service
Credit card (automatic),74.55,Fiber optic,No,No
Mailed check,19.95,No,No internet service,No internet service
Bank transfer (automatic),74.25,Fiber optic,No,No
Electronic check,108.65,Fiber optic,Yes,No
Bank transfer (automatic),109.55,Fiber optic,Yes,Yes
Credit card (automatic),86.65,DSL,Yes,Yes
Credit card (automatic),81.0,DSL,Yes,Yes
Credit card (automatic),47.85,DSL,No,No
Bank transfer (automatic),114.55,Fiber optic,Yes,Yes
Bank transfer (automatic),105.25,Fiber optic,Yes,Yes
Electronic check,29.95,DSL,No,No
Mailed check,65.0,DSL,Yes,Yes
Mailed check,20.55,No,No internet service,No internet service
Credit card (automatic),109.8,Fiber optic,Yes,Yes
Bank transfer (automatic),69.5,DSL,Yes,No
Mailed check,48.85,DSL,No,No
Credit card (automatic),25.25,DSL,No,No
Credit card (automatic),102.85,Fiber optic,Yes,No
Bank transfer (automatic),87.55,Fiber optic,No,Yes
Bank transfer (automatic),78.55,Fiber optic,No,No
Bank transfer (automatic),34.55,DSL,No,No
Electronic check,92.05,Fiber optic,Yes,Yes
Electronic check,85.05,Fiber optic,Yes,No
Mailed check,19.7,No,No internet service,No internet service
Bank transfer (automatic),20.0,No,No internet service,No internet service
Electronic check,95.15,Fiber optic,No,No
Electronic check,84.25,Fiber optic,Yes,No
Credit card (automatic),104.6,Fiber optic,Yes,No
Electronic check,111.65,Fiber optic,Yes,No
Credit card (automatic),90.05,Fiber optic,No,No
Bank transfer (automatic),110.75,Fiber optic,Yes,No
Bank transfer (automatic),55.0,DSL,No,Yes
Credit card (automatic),89.85,DSL,Yes,Yes
Mailed check,20.35,No,No internet service,No internet service
Bank transfer (automatic),54.55,DSL,No,Yes
Electronic check,105.5,Fiber optic,Yes,No
Bank transfer (automatic),99.45,Fiber optic,Yes,No
Credit card (automatic),70.9,DSL,Yes,Yes
Bank transfer (automatic),104.55,Fiber optic,Yes,Yes
Electronic check,85.25,Fiber optic,No,No
Bank transfer (automatic),25.4,No,No internet service,No internet service
Electronic check,56.15,DSL,No,No
Electronic check,89.55,Fiber optic,No,No
Bank transfer (automatic),89.85,Fiber optic,Yes,No
Electronic check,25.25,No,No internet service,No internet service
Electronic check,94.55,Fiber optic,No,No
Mailed check,45.7,DSL,No,No
Electronic check,69.65,DSL,Yes,No
Electronic check,89.5,Fiber optic,No,No
Credit card (automatic),70.0,Fiber optic,No,No
Bank transfer (automatic),69.55,Fiber optic,No,No
Mailed check,74.6,Fiber optic,Yes,No
Mailed check,20.1,No,No internet service,No internet service
Mailed check,24.8,No,No internet service,No internet service
Electronic check,19.65,No,No internet service,No internet service
Credit card (automatic),95.1,Fiber optic,No,No
Credit card (automatic),88.85,DSL,Yes,Yes
Bank transfer (automatic),78.8,DSL,Yes,Yes
Mailed check,19.85,No,No internet service,No internet service
Bank transfer (automatic),20.35,No,No internet service,No internet service
Mailed check,24.25,DSL,No,No
Mailed check,45.25,DSL,No,No
Mailed check,20.05,No,No internet service,No internet service
Mailed check,69.55,DSL,No,Yes
Bank transfer (automatic),19.5,No,No internet service,No internet service
Mailed check,74.75,Fiber optic,Yes,No
Electronic check,69.65,Fiber optic,No,No
Bank transfer (automatic),30.2,DSL,Yes,No
Mailed check,45.65,DSL,No,No
Bank transfer (automatic),57.8,DSL,Yes,No
Bank transfer (automatic),19.85,No,No internet service,No internet service
Credit card (automatic),25.55,No,No internet service,No internet service
Mailed check,75.05,Fiber optic,No,No
Credit card (automatic),24.85,No,No internet service,No internet service
Electronic check,49.15,DSL,No,No
Electronic check,110.35,Fiber optic,Yes,Yes
Bank transfer (automatic),24.55,No,No internet service,No internet service
Electronic check,34.7,DSL,No,No
Mailed check,107.95,Fiber optic,Yes,No
Bank transfer (automatic),81.4,Fiber optic,No,No
Electronic check,80.0,Fiber optic,No,No
Bank transfer (automatic),73.8,DSL,Yes,No
Credit card (automatic),64.4,DSL,No,Yes
Credit card (automatic),103.75,Fiber optic,Yes,No
Mailed check,71.1,Fiber optic,No,No
Electronic check,49.9,DSL,No,No
Bank transfer (automatic),24.6,No,No internet service,No internet service
Electronic check,49.25,DSL,No,Yes
Mailed check,30.1,DSL,No,No
Bank transfer (automatic),83.4,Fiber optic,No,No
Mailed check,20.45,No,No internet service,No internet service
Bank transfer (automatic),75.25,DSL,No,Yes
Credit card (automatic),20.55,No,No internet service,No internet service
Credit card (automatic),75.1,Fiber optic,No,No
Mailed check,20.05,No,No internet service,No internet service
Mailed check,20.65,No,No internet service,No internet service
Bank transfer (automatic),85.15,DSL,Yes,No
Electronic check,50.15,DSL,Yes,No
Bank transfer (automatic),84.95,Fiber optic,No,No
Credit card (automatic),66.5,DSL,Yes,Yes
Bank transfer (automatic),63.3,DSL,Yes,No
Electronic check,83.15,Fiber optic,No,No
Electronic check,84.9,Fiber optic,No,No
Mailed check,20.55,No,No internet service,No internet service
Mailed check,49.25,DSL,No,No
Bank transfer (automatic),79.85,Fiber optic,No,Yes
Mailed check,59.6,DSL,No,Yes
Bank transfer (automatic),104.65,Fiber optic,No,No
Credit card (automatic),75.3,Fiber optic,Yes,No
Credit card (automatic),80.1,DSL,Yes,No
Mailed check,19.55,No,No internet service,No internet service
Mailed check,81.0,Fiber optic,Yes,No
Credit card (automatic),24.7,No,No internet service,No internet service
Mailed check,86.0,Fiber optic,No,Yes
Mailed check,25.4,No,No internet service,No internet service
Credit card (automatic),89.15,Fiber optic,No,Yes
Bank transfer (automatic),58.25,DSL,Yes,No
Bank transfer (automatic),85.65,Fiber optic,No,No
Credit card (automatic),50.35,DSL,Yes,No
Credit card (automatic),80.35,Fiber optic,Yes,No
Mailed check,20.2,No,No internet service,No internet service
Credit card (automatic),20.55,No,No internet service,No internet service
Electronic check,85.95,Fiber optic,No,No
Electronic check,45.35,DSL,No,No
Electronic check,94.5,Fiber optic,No,No
Mailed check,21.25,No,No internet service,No internet service
Mailed check,26.25,No,No internet service,No internet service
Electronic check,80.85,Fiber optic,No,No
Credit card (automatic),91.7,Fiber optic,Yes,Yes
Credit card (automatic),74.2,DSL,Yes,No
Electronic check,87.25,Fiber optic,Yes,No
Mailed check,20.35,No,No internet service,No internet service
Electronic check,75.5,Fiber optic,No,No
Bank transfer (automatic),79.05,Fiber optic,No,Yes
Bank transfer (automatic),90.15,Fiber optic,Yes,No
Credit card (automatic),50.6,DSL,Yes,No
Credit card (automatic),110.45,Fiber optic,Yes,No
Credit card (automatic),101.0,Fiber optic,Yes,Yes
Bank transfer (automatic),79.35,Fiber optic,No,No
Bank transfer (automatic),89.85,DSL,Yes,Yes
Mailed check,65.0,DSL,Yes,Yes
Electronic check,80.45,Fiber optic,Yes,Yes
Electronic check,98.55,Fiber optic,No,Yes
Mailed check,24.1,No,No internet service,No internet service
Credit card (automatic),44.05,DSL,No,No
Credit card (automatic),110.8,Fiber optic,Yes,No
Bank transfer (automatic),114.95,Fiber optic,Yes,Yes
Mailed check,75.05,Fiber optic,Yes,No
Mailed check,19.25,No,No internet service,No internet service
Credit card (automatic),90.05,Fiber optic,Yes,No
Mailed check,56.7,DSL,No,Yes
Credit card (automatic),80.15,DSL,Yes,Yes
Credit card (automatic),71.35,DSL,Yes,Yes
Mailed check,20.25,No,No internet service,No internet service
Electronic check,90.35,Fiber optic,No,Yes
Electronic check,98.55,Fiber optic,Yes,No
Bank transfer (automatic),19.7,No,No internet service,No internet service
Mailed check,19.85,No,No internet service,No internet service
Bank transfer (automatic),85.9,Fiber optic,No,No
Bank transfer (automatic),90.35,Fiber optic,No,Yes
Mailed check,20.8,No,No internet service,No internet service
Electronic check,89.25,Fiber optic,No,No
Electronic check,70.3,Fiber optic,No,No
Bank transfer (automatic),66.85,DSL,Yes,Yes
Mailed check,19.9,No,No internet service,No internet service
Mailed check,35.8,DSL,No,No
Mailed check,78.85,Fiber optic,No,No
Bank transfer (automatic),20.4,No,No internet service,No internet service
Electronic check,74.25,Fiber optic,No,No
Mailed check,64.8,DSL,No,Yes
Credit card (automatic),20.45,No,No internet service,No internet service
Electronic check,93.35,Fiber optic,No,No
Mailed check,19.9,No,No internet service,No internet service
Mailed check,88.9,Fiber optic,Yes,Yes
Electronic check,95.8,Fiber optic,Yes,No
Credit card (automatic),110.65,Fiber optic,Yes,Yes
Mailed check,40.3,DSL,No,No
Electronic check,82.0,Fiber optic,No,No
Credit card (automatic),107.0,Fiber optic,Yes,Yes
Electronic check,45.35,DSL,No,No
Credit card (automatic),73.35,DSL,No,No
Mailed check,44.8,DSL,No,No
Credit card (automatic),54.75,DSL,No,Yes
Electronic check,52.2,DSL,No,No
Bank transfer (automatic),40.6,DSL,No,Yes
Electronic check,110.0,Fiber optic,Yes,Yes
Bank transfer (automatic),55.3,DSL,No,Yes
Bank transfer (automatic),60.85,DSL,No,Yes
Electronic check,78.4,DSL,No,Yes
Bank transfer (automatic),69.65,DSL,Yes,Yes
Credit card (automatic),59.85,DSL,Yes,Yes
Credit card (automatic),76.9,DSL,Yes,Yes
Mailed check,19.85,No,No internet service,No internet service
Credit card (automatic),67.65,DSL,Yes,Yes
Credit card (automatic),45.0,DSL,No,No
Mailed check,64.2,DSL,No,No
Credit card (automatic),81.7,Fiber optic,No,No
Bank transfer (automatic),25.55,No,No internet service,No internet service
Electronic check,20.0,No,No internet service,No internet service
Electronic check,96.75,Fiber optic,Yes,No
Credit card (automatic),75.65,Fiber optic,No,No
Electronic check,98.5,Fiber optic,No,No
Mailed check,23.8,No,No internet service,No internet service
Credit card (automatic),64.2,DSL,No,No
Electronic check,85.35,Fiber optic,No,No
Bank transfer (automatic),76.8,DSL,Yes,No
Credit card (automatic),55.2,DSL,Yes,No
Credit card (automatic),108.55,Fiber optic,Yes,Yes
Electronic check,101.3,Fiber optic,No,No
Electronic check,69.55,Fiber optic,No,No
Bank transfer (automatic),103.25,Fiber optic,Yes,No
Credit card (automatic),104.0,Fiber optic,No,Yes
Electronic check,25.25,No,No internet service,No internet service
Bank transfer (automatic),30.4,DSL,No,Yes
Bank transfer (automatic),20.05,No,No internet service,No internet service
Mailed check,84.6,Fiber optic,No,No
Mailed check,86.2,Fiber optic,Yes,No
Bank transfer (automatic),103.7,Fiber optic,Yes,No
Electronic check,111.2,Fiber optic,Yes,No
Credit card (automatic),88.0,Fiber optic,No,Yes
Electronic check,106.35,Fiber optic,Yes,No
Credit card (automatic),79.15,DSL,Yes,Yes
Electronic check,103.1,Fiber optic,Yes,No
Credit card (automatic),63.95,DSL,Yes,No
Credit card (automatic),25.8,No,No internet service,No internet service
Credit card (automatic),89.45,Fiber optic,Yes,No
Bank transfer (automatic),95.6,Fiber optic,No,No
Mailed check,25.55,No,No internet service,No internet service
Electronic check,90.95,Fiber optic,Yes,No
Electronic check,44.85,DSL,Yes,No
Electronic check,108.55,Fiber optic,No,Yes
Credit card (automatic),25.05,No,No internet service,No internet service
Credit card (automatic),74.1,DSL,Yes,Yes
Electronic check,88.8,Fiber optic,No,No
Electronic check,78.85,Fiber optic,No,No
Electronic check,93.25,Fiber optic,No,Yes
Credit card (automatic),71.4,DSL,Yes,Yes
Mailed check,44.4,DSL,No,No
Credit card (automatic),79.2,DSL,Yes,Yes
Credit card (automatic),20.4,No,No internet service,No internet service
Electronic check,100.0,Fiber optic,Yes,No
Credit card (automatic),105.0,Fiber optic,Yes,Yes
Bank transfer (automatic),19.8,No,No internet service,No internet service
Bank transfer (automatic),30.85,DSL,No,Yes
Electronic check,89.9,Fiber optic,No,No
Mailed check,20.55,No,No internet service,No internet service
Bank transfer (automatic),84.85,DSL,Yes,Yes
Credit card (automatic),33.15,DSL,No,Yes
Credit card (automatic),92.0,DSL,Yes,Yes
Credit card (automatic),89.8,DSL,Yes,Yes
Bank transfer (automatic),115.8,Fiber optic,Yes,Yes
Mailed check,85.15,DSL,No,Yes
Mailed check,24.85,No,No internet service,No internet service
Electronic check,64.35,DSL,No,Yes
Credit card (automatic),20.5,No,No internet service,No internet service
Electronic check,100.15,Fiber optic,Yes,No
Credit card (automatic),86.05,DSL,No,Yes
Electronic check,50.8,DSL,No,No
Electronic check,89.0,Fiber optic,No,Yes
Credit card (automatic),64.8,DSL,Yes,Yes
Credit card (automatic),19.8,No,No internet service,No internet service
Bank transfer (automatic),93.4,Fiber optic,Yes,Yes
Electronic check,73.65,Fiber optic,No,No
Electronic check,95.1,Fiber optic,No,No
Credit card (automatic),94.65,Fiber optic,No,No
Mailed check,80.6,Fiber optic,Yes,No
Bank transfer (automatic),39.0,DSL,No,No
Mailed check,20.5,No,No internet service,No internet service
Electronic check,85.55,Fiber optic,No,No
Mailed check,26.4,No,No internet service,No internet service
Bank transfer (automatic),98.2,Fiber optic,Yes,Yes
Credit card (automatic),97.55,Fiber optic,Yes,No
Credit card (automatic),19.95,No,No internet service,No internet service
Electronic check,50.8,DSL,No,No
Bank transfer (automatic),99.7,Fiber optic,Yes,No
Credit card (automatic),34.8,DSL,No,No
Electronic check,105.1,Fiber optic,Yes,Yes
Bank transfer (automatic),60.15,DSL,Yes,Yes
Electronic check,64.75,DSL,Yes,Yes
Bank transfer (automatic),54.65,DSL,No,No
Electronic check,110.1,Fiber optic,Yes,Yes
Credit card (automatic),19.3,No,No internet service,No internet service
Electronic check,83.9,Fiber optic,Yes,No
Electronic check,111.25,Fiber optic,Yes,Yes
Credit card (automatic),35.8,DSL,No,Yes
Mailed check,20.05,No,No internet service,No internet service
Electronic check,84.35,Fiber optic,Yes,No
Bank transfer (automatic),110.5,Fiber optic,Yes,Yes
Credit card (automatic),91.2,Fiber optic,No,No
Electronic check,100.55,Fiber optic,Yes,Yes
Electronic check,89.3,Fiber optic,Yes,Yes
Bank transfer (automatic),103.85,Fiber optic,Yes,No
Credit card (automatic),81.1,Fiber optic,Yes,No
Electronic check,24.6,DSL,No,No
Credit card (automatic),81.2,Fiber optic,No,No
Credit card (automatic),94.3,Fiber optic,No,Yes
Bank transfer (automatic),116.1,Fiber optic,Yes,Yes
Electronic check,105.55,Fiber optic,Yes,No
Bank transfer (automatic),98.9,Fiber optic,No,Yes
Credit card (automatic),94.4,Fiber optic,No,Yes
Mailed check,19.5,No,No internet service,No internet service
Credit card (automatic),98.3,Fiber optic,Yes,No
Electronic check,93.85,Fiber optic,No,Yes
Credit card (automatic),105.6,Fiber optic,Yes,Yes
Credit card (automatic),81.35,DSL,Yes,Yes
Electronic check,100.5,Fiber optic,Yes,No
Electronic check,56.4,DSL,No,No
Bank transfer (automatic),65.35,DSL,No,No
Mailed check,19.95,No,No internet service,No internet service
Electronic check,111.25,Fiber optic,Yes,No
Electronic check,72.85,Fiber optic,No,No
Credit card (automatic),89.0,Fiber optic,No,No
Bank transfer (automatic),106.1,Fiber optic,Yes,Yes
Credit card (automatic),20.05,No,No internet service,No internet service
Bank transfer (automatic),25.2,No,No internet service,No internet service
Electronic check,73.55,Fiber optic,No,No
Bank transfer (automatic),75.4,Fiber optic,No,Yes
Bank transfer (automatic),65.55,DSL,Yes,Yes
Electronic check,80.7,Fiber optic,Yes,No
Mailed check,104.55,Fiber optic,Yes,No
Bank transfer (automatic),24.15,No,No internet service,No internet service
Mailed check,20.45,No,No internet service,No internet service
Electronic check,75.4,Fiber optic,No,No
Credit card (automatic),79.7,DSL,No,Yes
Electronic check,81.7,Fiber optic,No,Yes
Bank transfer (automatic),76.3,DSL,Yes,Yes
Electronic check,79.4,Fiber optic,No,No
Electronic check,81.15,Fiber optic,Yes,No
Credit card (automatic),103.75,Fiber optic,No,No
Electronic check,86.45,Fiber optic,Yes,No
Bank transfer (automatic),75.1,Fiber optic,No,No
Bank transfer (automatic),80.6,Fiber optic,No,No
Credit card (automatic),19.3,No,No internet service,No internet service
Electronic check,84.6,Fiber optic,No,No
Mailed check,33.6,DSL,No,Yes
Electronic check,83.25,Fiber optic,No,No
Mailed check,80.85,DSL,Yes,Yes
Electronic check,79.05,Fiber optic,No,Yes
Credit card (automatic),108.05,Fiber optic,Yes,No
Mailed check,19.9,No,No internet service,No internet service
Bank transfer (automatic),21.05,No,No internet service,No internet service
Electronic check,30.15,DSL,No,No
Credit card (automatic),79.85,Fiber optic,No,No
Bank transfer (automatic),65.5,DSL,Yes,Yes
Bank transfer (automatic),104.1,Fiber optic,No,Yes
Bank transfer (automatic),74.4,Fiber optic,No,No
Mailed check,20.5,No,No internet service,No internet service
Mailed check,91.35,Fiber optic,Yes,No
Electronic check,99.05,Fiber optic,Yes,No
Bank transfer (automatic),20.5,No,No internet service,No internet service
Mailed check,44.95,DSL,No,No
Electronic check,75.6,Fiber optic,No,No
Mailed check,55.1,DSL,No,Yes
Electronic check,58.95,DSL,Yes,Yes
Electronic check,95.1,Fiber optic,No,No
Credit card (automatic),44.7,DSL,No,No
Bank transfer (automatic),25.45,No,No internet service,No internet service
Electronic check,56.75,DSL,Yes,Yes
Bank transfer (automatic),81.75,DSL,Yes,Yes
Electronic check,86.1,Fiber optic,No,No
Bank transfer (automatic),29.8,DSL,No,Yes
Mailed check,20.5,No,No internet service,No internet service
Bank transfer (automatic),60.9,DSL,No,Yes
Bank transfer (automatic),73.25,DSL,Yes,Yes
Mailed check,45.7,DSL,No,No
Credit card (automatic),100.3,Fiber optic,No,Yes
Electronic check,19.25,No,No internet service,No internet service
